date,transect,species,replicate,leaf_number,curling_mm,thickness_mm,mass_g,as.numeric(curling_mm),species_cleaned
2021-11-13,6,HEAR_747,5,3,9,0.38,NA,9,HEAR
2021-11-13,6,HEAR_747,5,4,8,0.36,NA,8,HEAR
2021-11-13,6,HEAR_747,5,5,9,0.41,NA,9,HEAR
2021-11-13,6,ARCAL,1,1,0,0.25,NA,0,ARCA
2021-11-13,6,ARCAL,1,2,1,0.33,NA,1,ARCA
2021-11-13,6,ARCAL,1,3,0,0.32,NA,0,ARCA
2021-11-13,6,ARCAL,1,4,1,0.35,NA,1,ARCA
2021-11-13,6,ARCAL,1,5,0,0.29,NA,0,ARCA
2021-11-13,6,ARCAL,2,1,0,0.36,NA,0,ARCA
2021-11-13,6,ARCAL,2,2,2,0.34,NA,2,ARCA
2021-11-13,6,ARCAL,2,3,1,0.33,NA,1,ARCA
2021-11-13,6,ARCAL,2,4,1,0.37,NA,1,ARCA
2021-11-13,6,ARCAL,2,5,2,0.3,NA,2,ARCA
2021-11-13,6,ARCAL,3,1,1,0.39,NA,1,ARCA
2021-11-13,6,ARCAL,3,2,2,0.34,NA,2,ARCA
2021-11-13,6,ARCAL,3,3,1,0.28,NA,1,ARCA
2021-11-13,6,ARCAL,3,4,0,0.35,NA,0,ARCA
2021-11-13,6,ARCAL,3,5,3,0.38,NA,3,ARCA
2021-11-13,6,ARCAL,4,1,0,0.21,NA,0,ARCA
2021-11-13,6,ARCAL,4,2,0,0.19,NA,0,ARCA
2021-11-13,6,ARCAL,4,3,0,0.17,NA,0,ARCA
2021-11-13,6,ARCAL,4,4,0,0.21,NA,0,ARCA
2021-11-13,6,ARCAL,4,5,0,0.16,NA,0,ARCA
2021-11-13,6,ARCAL,5,1,0,0.16,NA,0,ARCA
2021-11-13,6,ARCAL,5,2,0,0.3,NA,0,ARCA
2021-11-13,6,ARCAL,5,3,2,0.35,NA,2,ARCA
2021-11-13,6,ARCAL,5,4,0,0.42,NA,0,ARCA
2021-11-13,6,ARCAL,5,5,3,0.47,NA,3,ARCA
2021-11-13,6,CEBE,1,1,10,0.26,NA,10,CEBE
2021-11-13,6,CEBE,1,2,11,0.25,NA,11,CEBE
2021-11-13,6,CEBE,1,3,3,0.32,NA,3,CEBE
2021-11-13,6,CEBE,1,4,11,0.29,NA,11,CEBE
2021-11-13,6,CEBE,1,5,12,0.32,NA,12,CEBE
2021-11-13,6,CEBE,2,1,4,0.26,NA,4,CEBE
2021-11-13,6,CEBE,2,2,5,0.28,NA,5,CEBE
2021-11-13,6,CEBE,2,3,3,0.27,NA,3,CEBE
2021-11-13,6,CEBE,2,4,4,0.2,NA,4,CEBE
2021-11-13,6,CEBE,2,5,3,0.26,NA,3,CEBE
2021-11-13,6,CEBE,3,1,6,0.23,NA,6,CEBE
2021-11-13,6,CEBE,3,2,6,0.19,NA,6,CEBE
2021-11-13,6,CEBE,3,3,4,0.23,NA,4,CEBE
2021-11-13,6,CEBE,3,4,8,0.19,NA,8,CEBE
2021-11-13,6,CEBE,3,5,5,0.26,NA,5,CEBE
2021-11-13,6,CEBE,4,1,8,0.24,NA,8,CEBE
2021-11-13,6,CEBE,4,2,5,0.26,NA,5,CEBE
2021-11-13,6,CEBE,4,3,7,0.29,NA,7,CEBE
2021-11-13,6,CEBE,4,4,4,0.23,NA,4,CEBE
2021-11-13,6,CEBE,4,5,6,0.27,NA,6,CEBE
2021-11-13,6,CEBE,5,1,5,0.22,NA,5,CEBE
2021-11-13,6,CEBE,5,2,8,0.21,NA,8,CEBE
2021-11-13,6,CEBE,5,3,5,0.28,NA,5,CEBE
2021-11-13,6,CEBE,5,4,4,0.27,NA,4,CEBE
2021-11-13,6,CEBE,5,5,4,0.22,NA,4,CEBE
2021-11-14,7,QUDO_791,1,1,5,0.15,NA,5,QUDO
2021-11-14,7,QUDO_791,1,2,3,0.19,NA,3,QUDO
2021-11-14,7,QUDO_791,1,3,7.5,0.24,NA,7.5,QUDO
2021-11-14,7,QUDO_791,1,4,4,0.3,NA,4,QUDO
2021-11-14,7,QUDO_791,1,5,6,0.16,NA,6,QUDO
2021-11-14,7,QUDO_756,2,1,6,0.16,NA,6,QUDO
2021-11-14,7,QUDO_756,2,2,15,0.18,NA,15,QUDO
2021-11-14,7,QUDO_756,2,3,17,0.15,NA,17,QUDO
