Date,Transect,Species,Replicate,Leaf_Number,Curling_(mm),Thickness_(mm),Mass_(g)
20211114,7,QUAG_757,3,4,7,0.27,
20211114,7,QUAG_757,3,5,5,0.25,
20211114,7,QUAG_NA,4,1,3,0.16,
20211114,7,QUAG_NA,4,2,8,0.12,
20211114,7,QUAG_NA,4,3,10,0.12,
20211114,7,QUAG_NA,4,4,16,0.14,
20211114,7,QUAG_NA,4,5,13,0.17,
20211114,7,SALE_1,1,1,3,0.39,
20211114,7,SALE_1,1,2,6,0.4,
20211114,7,SALE_1,1,3,7,0.41,
20211114,7,SALE_1,1,4,6,0.42,
20211114,7,SALE_1,1,5,3,0.5,
20211114,7,SALE_2,2,1,4,0.47,
20211114,7,SALE_2,2,2,3,0.49,
20211114,7,SALE_2,2,3,3,0.36,
20211114,7,SALE_2,2,4,2,0.47,
20211114,7,SALE_2,2,5,3,0.29,
20211114,7,SALE_3,3,1,4,0.45,
20211114,7,SALE_3,3,2,1,0.43,
20211114,7,SALE_3,3,3,2,0.46,
20211114,7,SALE_3,3,4,2,0.43,
20211114,7,SALE_3,3,5,3,0.45,
20211114,7,SALE_4,4,1,3,0.49,
20211114,7,SALE_4,4,2,3,0.51,
20211114,7,SALE_4,4,3,4,0.38,
20211114,7,SALE_4,4,4,3,0.42,
20211114,7,SALE_4,4,5,5,0.39,
20211114,7,SALE_5,5,1,2,0.46,
20211114,7,SALE_5,5,2,2,0.4,
20211114,7,SALE_5,5,3,2,0.44,
20211114,7,SALE_5,5,4,3,0.36,
20211114,7,SALE_5,5,5,2,0.41,
20211114,7,ARCA_1,1,1,3,0.48,
20211114,7,ARCA_1,1,2,1,0.22,
20211114,7,ARCA_1,1,3,1,0.26,
20211114,7,ARCA_1,1,4,2,0.45,
20211114,7,ARCA_1,1,5,1,0.44,
20211114,7,ARCA_2,2,1,1,0.5,
20211114,7,ARCA_2,2,2,1,0.49,
20211114,7,ARCA_2,2,3,2,0.36,
20211114,7,ARCA_2,2,4,3,0.4,
20211114,7,ARCA_2,2,5,2,0.31,
20211114,7,ARCA_3,3,1,1,0.2,
20211114,7,ARCA_3,3,2,0.5,0.29,
20211114,7,ARCA_3,3,3,4,0.41,
20211114,7,ARCA_3,3,4,1,0.28,
20211114,7,ARCA_3,3,5,1,0.33,
20211114,7,ARCA_4,4,1,0.5,0.29,
20211114,7,ARCA_4,4,2,2,0.34,
20211114,7,ARCA_4,4,3,1,0.37,
20211114,7,ARCA_4,4,4,2,0.38,
20211114,7,ARCA_4,4,5,1,0.4,
20211114,7,ARCA_5,5,1,1,0.25,
20211114,7,ARCA_5,5,2,0.5,0.23,
20211114,7,ARCA_5,5,3,1,0.2,
20211114,7,ARCA_5,5,4,4,0.28,
20211114,7,ARCA_5,5,5,1,0.2,
20211115,2,HEAR_NA,1,1,8,0.36,
20211115,2,HEAR_NA,1,2,6,0.38,
20211115,2,HEAR_NA,1,3,6,0.38,
20211115,2,HEAR_NA,1,4,6,0.41,
20211115,2,HEAR_NA,1,5,5,0.5,
20211115,2,HEAR_721,2,1,4,0.41,
20211115,2,HEAR_721,2,2,12,0.56,
20211115,2,HEAR_721,2,3,6,0.44,
20211115,2,HEAR_721,2,4,5,0.5,
20211115,2,HEAR_721,2,5,5,0.45,
20211115,2,HEAR_722,3,1,6,0.42,
20211115,2,HEAR_722,3,2,10,0.41,
20211115,2,HEAR_722,3,3,3,0.46,
20211115,2,HEAR_722,3,4,3,0.43,
20211115,2,HEAR_722,3,5,21,0.44,
20211115,2,QUDO_702,1,1,4,0.27,
20211115,2,QUDO_702,1,2,7,0.27,
20211115,2,QUDO_702,1,3,7,0.26,
20211115,2,QUDO_702,1,4,7,0.27,
20211115,2,QUDO_702,1,5,20,0.25,
20211115,2,QUAG_724,1,1,9,0.33,
20211115,2,QUAG_724,1,2,4,0.25,
20211115,2,QUAG_724,1,3,5,0.31,
20211115,2,QUAG_724,1,4,9,0.3,
20211115,2,QUAG_724,1,5,8,0.25,
20211115,2,QUAG_NA1,2,1,7,0.26,
20211115,2,QUAG_NA1,2,2,7,0.25,
20211115,2,QUAG_NA1,2,3,16,0.29,
20211115,2,QUAG_NA1,2,4,8,0.28,
20211115,2,QUAG_NA1,2,5,7,0.29,
20211115,2,QUAG_723,3,1,6,0.27,
20211115,2,QUAG_723,3,2,4,0.23,
20211115,2,QUAG_723,3,3,4,0.25,
20211115,2,QUAG_723,3,4,3,0.26,
20211115,2,QUAG_723,3,5,5,0.31,
20211115,2,QUAG_NA2,4,1,11,0.28,
20211115,2,QUAG_NA2,4,2,5,0.27,
20211115,2,QUAG_NA2,4,3,5,0.3,
20211115,2,QUAG_NA2,4,4,8,0.26,
20211115,2,QUAG_NA2,4,5,8,0.25,
20211115,2,ARCA_1,1,1,1,0.36,
20211115,2,ARCA_1,1,2,0,0.37,
20211115,2,ARCA_1,1,3,4,0.43,
20211115,2,ARCA_1,1,4,1,0.37,
20211115,2,ARCA_1,1,5,0,0.37,
20211115,2,ARCA_2,2,1,1,0.39,
20211115,2,ARCA_2,2,2,2,0.37,
20211115,2,ARCA_2,2,3,3,0.37,
20211115,2,ARCA_2,2,4,1,0.35,
20211115,2,ARCA_2,2,5,1,0.36,
20211115,2,ARCA_3,3,1,1,0.33,
20211115,2,ARCA_3,3,2,0,0.39,
20211115,2,ARCA_3,3,3,1,0.38,
20211115,2,ARCA_3,3,4,3,0.44,
20211115,2,ARCA_3,3,5,6,0.43,
20211115,2,ARCA_4,4,1,0,0.39,
20211115,2,ARCA_4,4,2,0,0.35,
20211115,2,ARCA_4,4,3,0,0.39,
20211115,2,ARCA_4,4,4,0,0.38,
20211115,2,ARCA_4,4,5,1,0.34,
20211115,2,ARCA_5,5,1,1,0.28,
20211115,2,ARCA_5,5,2,3,0.31,
20211115,2,ARCA_5,5,3,2,0.31,
20211115,2,ARCA_5,5,4,0,0.29,
20211115,2,ARCA_5,5,5,0,0.28,
